No;URL;Title;price;Attributes1;Attributes2
1;https://detail.tmall.com/item.htm?id=700744549930&spm=pc_detail.29232929/evo401271b517998.guessitem.d7&skuId=4943664400723;全友全屋定制厨房厨柜一体设计 轻奢石英石台面中岛台餐桌一体;1000;定制预付金（具体金额以设计方案为准，详情咨询客服）;3米
2;https://detail.tmall.com/item.htm?id=700744549930&spm=pc_detail.29232929/evo401271b517998.guessitem.d7&skuId=5192206896231;全友全屋定制厨房厨柜一体设计 轻奢石英石台面中岛台餐桌一体;7999;4999元/7延米橱柜（1延米吊柜+3延米地柜+3延米台面）;3米
